,0,1,2,3
95,2.5881338,4.073301,3.145145,1.318556
96,0.8170847,5.432145,1.2324038,1.4349768
97,5.3421183,0.7595224,2.066659,4.3474545
98,2.834571,3.9812896,3.468912,1.2486264
99,0.7107153,4.487794,1.1191498,0.5687437
100,1.2294458,0.33541536,5.840123,2.4360375
101,1.4764463,0.44468918,1.2071393,1.3137761
102,5.9146395,0.9301734,1.8892614,3.9844303
103,1.0117754,0.80203724,1.9094317,1.6173462
104,0.70366603,5.0182457,1.0161681,0.70013326
105,2.8669198,4.110452,4.784064,3.8675168
106,0.13859467,0.12224291,0.13390756,0.4967818
107,1.3575196,5.1486297,4.663722,3.8313863
108,2.8631399,1.8457195,1.2607834,2.109592
109,3.3943195,4.107792,2.5978281,1.4534359
110,1.1002678,0.55086297,0.5390536,0.6049329
111,2.812366,4.523064,1.6524377,1.2069373
112,2.3980947,3.5028188,1.8923265,1.8327695
113,0.9867629,4.3376613,2.2103982,4.0572553
114,3.0064428,4.1635184,1.837922,1.3841594
115,0.86597496,0.4279148,3.0533617,3.5076401
116,1.1180654,0.48622572,0.7257892,0.7177025
117,2.3605356,5.0766087,2.8007128,3.5531893
118,0.7386742,4.951134,1.2870314,1.4190807
119,1.2288148,0.40907836,2.132467,3.3347664
120,1.5295038,0.42682403,1.9471115,3.7449203
121,1.3729724,0.367703,2.8804407,3.5351675
122,1.3610463,0.48401082,1.7740444,4.0004807
123,1.3573025,0.72830856,0.690783,0.89823854
124,1.056762,0.76641494,2.9298,3.69228
125,0.12377444,0.12805937,0.11593354,0.38450557
126,3.594749,2.3891168,1.7217455,3.3535244
127,4.5953975,0.48212886,5.058822,3.7983506
128,1.1752685,0.61756843,1.1941582,1.3437982
129,1.499171,0.4503897,1.187635,1.9242272
130,0.94302785,0.48700655,3.293421,3.5999942
131,2.242351,4.8360896,2.5573344,3.3069043
132,2.6569216,4.38291,4.1533456,4.107101
133,0.92293286,5.538654,1.4369103,0.66675377
134,0.89993715,5.4593873,1.4068849,3.7899783
135,1.1707063,0.8023577,0.8777849,0.74991536
136,0.13216174,0.119281925,0.14037034,0.4626148
137,3.2863774,1.8938907,3.2991707,3.9985635
138,0.9520139,4.1305532,3.132508,4.127959
139,5.578801,0.8425627,2.2918677,4.175701
140,3.143108,4.0405855,3.9996781,3.7860756
141,1.1342245,0.6739314,0.8442878,1.6917464
142,1.0272285,5.251678,0.90583134,1.823658
143,2.3165548,5.079625,2.5044134,3.4275837
144,1.1195891,0.6443014,2.2181683,3.5682008
145,1.3624184,0.4934774,0.61821884,0.95537645
146,3.2841153,4.7654314,4.5666814,3.9855068
147,1.450257,0.4006076,2.6755307,4.0269217
148,1.5090718,0.5722996,0.47021282,0.66450936
149,1.4035099,0.42189574,0.61792386,1.8872488
150,3.1276548,4.025617,2.2839622,2.0075862
151,0.90286916,0.33856353,2.1882749,3.1952708
152,0.1333025,0.1263083,0.12135137,0.43727934
153,0.11669346,0.11484614,0.11755863,0.47152334
154,1.4248353,0.41811097,2.6936073,3.8313534
155,3.3803303,4.0980196,2.9221447,1.7321659
156,2.7162855,3.8933737,3.7702298,4.4692717
157,0.9754384,0.4547557,2.3959978,2.0287988
158,0.6161238,4.986767,1.5680056,1.1476219
159,1.3286682,0.5113719,1.9397733,3.1705136
160,0.95445055,0.3301129,2.2585335,3.6148753
161,4.870837,0.7975517,0.40466264,1.3193566
162,0.8449119,5.177713,0.95530933,0.6086127
163,2.93458,3.849044,2.6951442,1.2315507
164,1.2811831,0.5864415,2.4149463,3.412415
165,1.1149808,5.524243,1.6326059,1.0741304
166,1.1249372,0.42983723,2.0631564,2.8255377
167,1.1389523,0.5705643,3.4565027,0.6251883
168,0.13251202,0.124355584,0.13495174,0.46269563
169,1.2262529,0.4105782,2.4101021,3.5285861
170,0.16333716,0.11358008,0.1141674,0.41725814
171,1.120985,5.0226254,3.2106867,4.3475785
172,2.3052866,5.1744294,1.2286118,0.5671355
173,1.1948506,0.70425856,0.5856368,1.2773939
174,3.8585377,1.8633666,3.013416,3.538689
175,1.0479555,0.4291917,1.984508,3.623752
176,0.9269865,0.37538916,0.93613666,1.4196721
177,3.24494,2.6885543,1.173109,2.2602751
178,0.7506486,5.015431,2.1833303,0.85514224
179,0.86242354,5.47915,3.7324145,3.56781
180,0.11677384,0.11769543,0.12764965,0.5078853
181,0.99345034,0.501482,1.709111,3.829681
182,3.3970017,4.080215,2.5041862,1.2092894
183,3.0662537,2.0474637,4.1522,3.8967495
184,1.6416514,0.6006445,0.8686679,0.80264413
185,5.169752,1.1877139,3.1499872,3.248562
186,3.15306,1.989923,1.2164996,2.4412782
187,2.7545877,4.570715,1.2918965,1.1214832
188,1.5758487,0.49672797,2.1032696,3.9429271
189,2.905978,4.403458,2.233948,1.3346987
190,3.1060467,1.8609438,4.0315795,3.6942015
191,5.4390397,0.8064557,4.0844483,4.409741
192,3.226608,4.102331,2.431323,2.1361551
193,1.3997954,0.5679765,1.2900312,2.2801032
194,3.412145,2.0540166,1.5769961,4.688187
195,5.0664153,0.79391366,0.39003322,1.4535109
196,3.145927,3.8265438,3.604803,4.339736
197,3.6108043,1.9486749,1.3465322,2.2008517
198,1.1672484,5.4445496,2.468751,3.8258443
199,2.357073,4.680832,2.771189,3.7953572
200,0.8435254,0.27309737,4.0531735,3.0029886
201,1.4135686,4.8401694,1.6492652,0.49985212
202,0.94757193,0.64667696,0.7571999,0.91338474
203,2.5568125,3.7455125,3.7194393,3.8042572
204,0.94097257,0.5221654,2.5009763,3.0571148
205,1.2723453,0.6406154,1.1308717,0.94850963
206,2.7653627,4.7448483,2.00281,1.4649072
207,2.824743,4.264101,4.4636965,4.025914
208,4.6968036,0.6802285,1.9000329,2.4711246
209,4.824157,0.68024653,2.3537955,3.8248117
210,1.1667298,0.58981633,0.7507959,1.041581
211,1.4322429,0.5224917,0.7122912,1.1242858
212,2.1922708,5.1585865,3.3045475,3.869622
213,3.0020583,3.6614578,2.6175747,1.2391152
214,1.0016621,0.35294187,4.0701275,2.842983
215,3.3957844,4.4042897,3.0143592,2.2723374
216,2.889152,4.069805,3.5442293,2.8090272
217,0.8469898,5.307124,2.3696988,0.8598893
218,1.6221589,5.5372653,3.3956845,4.1424828
219,1.2081981,5.075008,2.523589,3.6368818
220,4.5611525,0.82747394,0.39853367,1.3935168
221,1.0911591,4.778029,3.3347886,3.6152372
222,5.554323,0.8963685,0.44746703,1.5522068
223,3.0156415,3.4767675,2.04257,1.1710325
224,0.9788758,5.6053715,1.1528479,0.8918992
225,6.9967203,0.8776196,2.8549538,4.0229416
226,1.5237316,5.1494565,1.1215521,0.59832996
227,1.0880759,0.429034,1.354434,2.9721806
228,1.2683624,0.58668894,0.78198946,1.9663143
